latitude,longitude,distance_km,bearing_degrees
-30.01001999,-51.17823219,4.6818,54.202
-30.00132819,-51.24417919,4.5008,325.419
-30.017661,-51.17225715,4.7629,66.641
-30.02303816,-51.22886618,1.6829,320.106
-29.99649966,-51.20478929,4.4203,16.287
-30.02635716,-51.18063343,3.6826,75.509
-30.0638976,-51.23627365,3.7144,208.844
-30.03326674,-51.24229964,2.3777,273.696
-30.06324631,-51.23471173,3.5797,207.296
-30.0024893,-51.22460878,3.6389,349.398
-30.03036973,-51.19325611,2.3975,78.56
-30.04032199,-51.20734914,1.1763,122.453
-29.99563357,-51.20419139,4.529,16.645
-30.05720827,-51.26092539,4.8632,238.925
-29.9998367,-51.19364508,4.5099,30.856
-30.03896527,-51.16850183,4.7575,95.806
-30.01438115,-51.21604986,2.2594,3.932
-30.04553086,-51.23412735,1.995,232.637
-30.03132343,-51.22178453,0.5427,312.935
-30.04890995,-51.26383362,4.7205,250.351
-30.01540871,-51.25071881,3.836,303.897
-30.02921223,-51.22223382,0.748,323.913
-30.01056076,-51.25851435,4.76,304.241
-30.04178973,-51.20108637,1.7825,116.472
-30.02043667,-51.17381681,4.508,69.486
-30.06030565,-51.20804126,3.0004,162.027
-29.9959833,-51.22799638,4.4142,346.962
-30.00210407,-51.24954543,4.7468,319.68
-30.06109218,-51.23809365,3.5387,213.773
-30.04162557,-51.22350299,0.9587,215.942
-30.060924,-51.20361529,3.2203,155.178
-30.06763514,-51.23489739,4.027,204.335
-30.07256478,-51.20359196,4.4295,162.202
-30.06839586,-51.2089554,3.8461,167.419
-30.03740572,-51.21979483,0.3694,213.84
-30.03228057,-51.17146655,4.4557,86.625
-30.01220825,-51.19150662,3.5457,45.266
-30.04487293,-51.18457201,3.3827,109.656
-30.02698463,-51.16731239,4.9224,80.042
-30.00503091,-51.19104704,4.1736,37.89
-29.99931492,-51.2093914,4.0097,11.455
-30.01072533,-51.2086676,2.7981,18.028
-30.02367155,-51.18037152,3.7924,71.232
-30.01595782,-51.22422952,2.1729,343.067
-30.07610378,-51.22994588,4.7604,194.385
-29.99341155,-51.22206308,4.6061,354.714
-30.00506176,-51.1806946,4.8478,47.259
-30.01162611,-51.19217165,3.5469,43.794
-30.03416632,-51.207336,0.9954,86.923
-30.07031,-51.19536206,4.5102,151.586
-29.99322423,-51.21895974,4.609,358.441
-30.02520742,-51.24709646,3.023,290.316
-30.03249261,-51.20543566,1.2011,78.495
-30.04676906,-51.23147214,1.8939,224.607
-30.02581989,-51.18439658,3.3501,72.966
-30.00291551,-51.21536782,3.5363,3.577
-30.04759556,-51.20358053,1.9778,136.739
-30.01919355,-51.24650851,3.2669,301.737
-30.0167068,-51.21734246,1.9957,0.874
-30.03485129,-51.16779555,4.8014,90.283
-29.99417525,-51.20702911,4.6165,12.815
-30.00539435,-51.1795483,4.9048,48.452
-30.00699139,-51.19540174,3.7492,34.875
-30.06003148,-51.25411183,4.5044,231.176
-30.00849281,-51.25653248,4.7411,307.839
-30.04390782,-51.22199585,1.1115,202.069
-30.05328414,-51.245909,3.4199,232.682
-30.02116772,-51.24644222,3.1513,298.402
-30.00811921,-51.25811484,4.8873,307.127
-30.01051983,-51.25420379,4.4258,307.317
-30.02885783,-51.18230652,3.4645,79.298
-30.04866648,-51.23563532,2.3297,227.981
-30.02049481,-51.24701535,3.2357,299.102
-30.05576036,-51.25323995,4.1534,235.561
-30.0521642,-51.17159407,4.8443,113.727
-30.04495229,-51.26044052,4.2758,254.44
-30.01510292,-51.25571701,4.2612,300.664
-30.06557023,-51.19575931,4.0342,148.498
-30.05798463,-51.25980397,4.817,237.382
-30.06254023,-51.17809355,4.9128,129.171
-30.05585056,-51.21015265,2.4666,162.966
-30.06852521,-51.21327453,3.7917,173.61
-30.06161101,-51.21063983,3.0743,167.304
-30.0376095,-51.23110355,1.3359,255.717
-30.0705202,-51.20848874,4.0865,167.527
-30.06069694,-51.18711232,4.1285,134.581
-29.99683051,-51.24454687,4.9395,328.374
-30.02830265,-51.24212674,2.4596,286.667
-30.00731225,-51.20369653,3.3244,23.861
-29.99711224,-51.22249341,4.2008,353.634
-30.03408311,-51.26203392,4.2734,270.83
-30.06537541,-51.21818719,3.4182,180.853
-30.05390677,-51.19950779,2.7646,140.797
-30.0351476,-51.20886077,0.849,93.762
-30.06370018,-51.23583095,3.6747,208.428
-30.05883434,-51.21193543,2.7461,168.426
-30.00939886,-51.22272287,2.8503,350.146
-30.05433398,-51.21659391,2.1921,177.32
-30.04226418,-51.20158588,1.7643,118.702
-30.04928615,-51.181825,3.8151,115.273
-30.0710054,-51.19252208,4.7128,149.11
-30.03557214,-51.19766586,1.9278,93.064
-30.00810728,-51.25293412,4.5005,310.98
-30.06405001,-51.19603074,3.877,147.521
-30.0767262,-51.22530485,4.7378,188.936
-29.99538012,-51.23144482,4.5649,343.087
-29.99355341,-51.23562424,4.8873,339.261
-30.0179206,-51.26119009,4.5864,293.921
-29.99577418,-51.2050371,4.4913,15.706
-30.02100198,-51.17089526,4.7521,71.386
-30.0204625,-51.20573805,1.9511,36.042
-30.0475642,-51.22182208,1.4916,195.59
-29.99731728,-51.2377025,4.5789,335.06
-29.99713368,-51.220287,4.1802,356.527
-30.00509049,-51.20697463,3.4447,17.382
-30.04820495,-51.25512738,3.9102,247.306
-30.05480341,-51.19518924,3.1155,136.027
-30.01643312,-51.19936164,2.6849,41.019
-30.02765124,-51.18264399,3.4603,77.014
-30.0537021,-51.25311205,4.018,238.156
-30.00630747,-51.21203516,3.1983,9.75
-30.00708531,-51.21853426,3.0668,358.424
-30.04856113,-51.23568006,2.3251,228.266
-30.00072559,-51.238683,4.282,331.774
-30.04089405,-51.24359505,2.5922,254.446
-30.02479868,-51.16755326,4.9477,77.221
-30.01972767,-51.24743743,3.3132,300.049
-30.01671775,-51.24351645,3.1902,308.683
-30.05224101,-51.19574863,2.8774,132.856
-30.0386936,-51.23232337,1.4821,252.317
-30.01139827,-51.21050986,2.6759,14.909
-30.04474764,-51.20788871,1.4653,140.062
-30.03420473,-51.23555543,1.724,271.631
-30.06877389,-51.20721001,3.9268,165.16
-30.04277383,-51.22144989,0.9748,201.992
-30.01945142,-51.21629586,1.6952,4.439
-30.02214298,-51.18487914,3.4494,66.23
-30.05190172,-51.20593835,2.2263,149.548
-30.03350912,-51.22614776,0.8272,278.8
-30.05163178,-51.1914227,3.1543,126.798
-30.06130382,-51.21418441,2.9837,173.565
-30.00900334,-51.18774075,4.0542,45.296
-30.005923,-51.25370544,4.7179,312.615
-30.06652219,-51.19941812,3.9564,153.654
-30.00534383,-51.21845246,3.2602,358.656
-30.03976257,-51.19376933,2.3696,103.899
-30.02492877,-51.19398388,2.523,64.638
-30.01567606,-51.20102,2.6495,37.215
-30.04562975,-51.22910352,1.6452,222.052
-30.04537996,-51.24417128,2.8182,244.931
-30.02579394,-51.22969417,1.5208,310.349
-29.99519682,-51.19492687,4.9037,26.522
-30.05845312,-51.21645422,2.6504,177.493
-30.02630338,-51.22613494,1.2359,318.665
-30.06191628,-51.24802396,4.2127,223.939
-30.0169754,-51.20914002,2.1299,22.655
-30.03448544,-51.23140014,1.3233,270.775
-30.02971272,-51.203238,1.4931,68.437
-30.07663362,-51.21791062,4.6701,180.298
-30.05114744,-51.21749872,1.8353,179.52
-29.99236211,-51.21486605,4.7109,3.273
-30.0226288,-51.19614406,2.4656,57.174
-30.01236484,-51.25106975,4.0614,307.597
-29.99726227,-51.21864061,4.1593,358.697
-30.02182937,-51.21555441,1.44,8.089
-30.04000526,-51.22685221,1.0672,236.049
-30.01761855,-51.22728399,2.1087,333.92
-30.01556847,-51.20763852,2.3311,24.454
-30.06616898,-51.20204218,3.8148,156.793
-30.04628978,-51.18946036,3.0081,115.506
-30.01898009,-51.2395039,2.7317,309.631
-30.04026937,-51.25478433,3.6291,260.068
-30.0309732,-51.20329087,1.4426,73.548
-30.04961791,-51.22237279,1.7259,195.247
-30.03392619,-51.26645521,4.6994,270.965
-30.02345699,-51.22380397,1.3782,334.568
-30.02683309,-51.22292072,1.0061,329.755
-30.04185299,-51.21167058,0.9873,144.272
-30.00195798,-51.24003159,4.2264,329.343
-30.06418781,-51.18799819,4.3532,139.014
-30.05382115,-51.25517652,4.1949,239.434
-30.05455789,-51.24215866,3.2356,226.801
-30.03534863,-51.17106065,4.4876,91.008
-30.0600147,-51.20647771,3.0199,159.12
-30.04183285,-51.26605443,4.728,260.256
-30.0218157,-51.18248844,3.6752,67.158
-30.02042087,-51.18940901,3.1471,59.822
-30.00660034,-51.18063857,4.7373,48.823
-30.01611229,-51.1876391,3.5506,54.514
-29.99179917,-51.20622584,4.8914,13.012
-30.04491982,-51.23436133,1.9728,234.604
-30.03876852,-51.18149428,3.5123,97.509
-30.06549938,-51.23871096,3.9855,210.563
-30.03284128,-51.23387632,1.5745,277.325
-30.01921127,-51.17954314,4.0521,64.941
-30.0088152,-51.21162937,2.9313,11.426
-29.99914019,-51.23900103,4.4522,332.499
-30.06699821,-51.20877603,3.6985,166.634
-30.05945749,-51.21970231,2.7666,184.078
-30.0317304,-51.24556384,2.7066,276.877
-30.04923266,-51.18268569,3.7377,115.732
-30.01967866,-51.2517248,3.6788,296.899
-30.0562106,-51.19871501,3.0131,142.754
-30.07246426,-51.2438671,4.905,210.951
-30.04372501,-51.2124838,1.1259,153.737
-30.03071958,-51.19459382,2.2635,78.878
-30.0724324,-51.23555772,4.5423,202.29
-30.06029218,-51.23718069,3.416,213.378
-30.01351105,-51.23090558,2.6747,331.51
-30.04265477,-51.24289166,2.5877,249.862
-30.03317354,-51.19885429,1.8181,84.833
-30.03232948,-51.1956711,2.1328,83.064
-30.01337698,-51.24700344,3.6855,309.927
-30.05156847,-51.25602617,4.146,242.992
-30.02158671,-51.21916673,1.4599,354.29
-30.04450109,-51.21225555,1.2132,154.61
-30.06074655,-51.21453091,2.9185,174.079
-30.01991567,-51.2252881,1.7957,335.846
-30.07454018,-51.23584244,4.77,201.526
-29.99722412,-51.21476926,4.1717,3.825
-30.07050468,-51.21671533,3.9893,178.696
-30.00410928,-51.22868181,3.5586,342.64
-30.0397144,-51.18663838,3.0396,100.694
-30.0120197,-51.19095856,3.598,45.62
-30.03134279,-51.21169275,0.682,57.391
-30.06415145,-51.20783722,3.4152,163.929
-29.99856526,-51.19568693,4.5369,27.807
-30.02022868,-51.18467022,3.5586,63.222
-30.06431002,-51.1908601,4.1883,141.981
-30.03549142,-51.23179325,1.3643,266.049
-30.05339837,-51.19493785,3.0225,133.639
-30.01531071,-51.25446362,4.1459,301.24
-30.04617545,-51.26433597,4.6737,254.065
-30.01770598,-51.18024308,4.066,62.401
-30.03316439,-51.18546751,3.1041,86.963
-30.03268854,-51.25659266,3.7554,273.316
-30.04675048,-51.19476227,2.5831,121.416
-30.02471352,-51.18981493,2.8999,67.611
-30.03028481,-51.20926528,0.9427,59.024
-29.99694897,-51.22140531,4.2085,355.08
-30.07345376,-51.19739646,4.7366,155.686
-30.06328617,-51.23074976,3.4257,201.584
-30.0146333,-51.17252258,4.8835,62.893
-30.05048479,-51.22023562,1.779,188.018
-29.99877272,-51.22357877,4.0307,351.866
-30.02942206,-51.25514811,3.6565,279.136
-30.07425724,-51.22646366,4.4865,190.889
-30.01896054,-51.26622518,4.9918,290.446
-30.00523827,-51.19748909,3.8043,30.708
-30.02001573,-51.18922421,3.1853,59.283
-30.0367945,-51.2617232,4.2497,266.767
-30.07533925,-51.23525278,4.8326,200.514
-30.01542852,-51.1814302,4.0916,58.513
-30.02184707,-51.25739379,4.0827,290.399
-30.00189653,-51.19829149,4.0925,27.118
-30.05169241,-51.19564401,2.8438,131.817
-29.99982952,-51.19749327,4.3323,26.638
-29.99838659,-51.20285681,4.2776,19.47
-29.99218505,-51.23068368,4.8867,345.121
-30.06657041,-51.18420785,4.7936,137.801
-30.05119601,-51.25191386,3.7771,240.826
-30.06909688,-51.21168502,3.8746,171.466
-30.02906545,-51.23950913,2.1938,286.434
-29.99615389,-51.19218421,4.9346,29.82
-30.06972153,-51.20102131,4.2172,157.683
-30.01471838,-51.24483085,3.4294,310.261
-30.04789366,-51.19737292,2.4466,127.034
-30.00232262,-51.20096454,3.9384,24.097
-30.06646111,-51.20117983,3.8779,155.855
-30.0310675,-51.22815946,1.0867,291.489
-30.04510488,-51.21027054,1.3635,148.554
-29.99501607,-51.24106345,4.9509,332.91
-29.99872776,-51.1947129,4.5656,28.954
-30.00111927,-51.20138789,4.045,22.796
-30.05131808,-51.1854074,3.6167,120.851
-30.03367454,-51.17177676,4.4193,88.609
-30.03597666,-51.25175233,3.2863,267.412
-30.06604635,-51.23999611,4.1015,211.619
-29.99987283,-51.20095872,4.1889,22.583
-30.006791,-51.20604537,3.294,19.851
-30.01027192,-51.2159827,2.716,3.407
-30.01059807,-51.24210808,3.5636,318.638
-30.01369988,-51.22714107,2.5025,338.595
-30.06909353,-51.21481279,3.8411,175.911
-30.00371614,-51.20207705,3.7534,23.569
-30.03651681,-51.18717266,2.9428,94.06
-30.06365505,-51.23211747,3.5139,203.335
-30.06362781,-51.22354346,3.2728,189.968
-30.0283974,-51.19658069,2.1454,71.1
-30.02618247,-51.26530272,4.6835,281.585
-30.03266976,-51.21678121,0.2356,21.01
-30.06745171,-51.19398005,4.3023,148.01
-30.04191411,-51.16662828,4.9796,99.354
-30.05721589,-51.23868906,3.2251,218.885
-30.02522471,-51.22634058,1.3406,321.417
-30.04353116,-51.25837768,4.0433,255.844
-30.05438493,-51.18263274,4.024,123.073
-30.01364549,-51.22535357,2.4507,342.397
-30.0039185,-51.18846484,4.4256,39.448
-30.06532034,-51.23371642,3.7456,204.374
-30.03957976,-51.20999478,0.9195,126.633
-30.04409062,-51.26444808,4.626,256.865
-30.00991188,-51.19690862,3.4003,35.997
-30.01141499,-51.1894948,3.7461,46.394
-30.06194378,-51.18791989,4.1732,136.687
-30.03955943,-51.24850135,3.0197,259.568
-30.04223632,-51.18303012,3.4395,104.215
-30.03732004,-51.25150096,3.2722,264.779
-30.01789008,-51.19458702,2.9,50.013
-30.04368465,-51.25188241,3.4452,253.027
-30.02754879,-51.19193814,2.5995,72.325
-30.04852868,-51.24730379,3.2452,241.583
-30.00899132,-51.24104527,3.6353,321.711
-30.02247368,-51.26641242,4.8862,286.075
-30.0388489,-51.25606715,3.7278,262.788
-29.9983055,-51.24627879,4.8925,325.702
-30.02078821,-51.19533709,2.6451,54.36
-30.05446628,-51.18578269,3.7787,125.697
-30.05397561,-51.21291512,2.1978,168.008
-30.02113973,-51.20342314,2.0338,42.382
-30.01415868,-51.18398619,3.9633,54.91
-30.0743258,-51.19454969,4.9423,153.253
-30.0509344,-51.24215067,2.9737,232.462
-30.03919055,-51.18980224,2.7294,100.677
-30.02715017,-51.24321629,2.5985,288.711
-30.07513806,-51.2375953,4.8956,203.078
-30.00617615,-51.23945476,3.7993,326.456
-30.02135566,-51.17276968,4.5685,71.131
-30.0480665,-51.17058346,4.772,108.239
-30.01352991,-51.21154101,2.4215,14.082
-30.04993578,-51.22716907,1.9314,208.3
-30.02646343,-51.18366443,3.3977,74.469
-30.03857352,-51.25840595,3.9478,263.638
-30.07133077,-51.21623232,4.0825,178.073
-30.01308092,-51.22506165,2.5024,343.445
-30.06775456,-51.20658504,3.8336,163.857
-30.03747777,-51.22769502,1.0164,251.953
-30.02524947,-51.22042329,1.0786,345.709
-30.04007109,-51.23602126,1.8682,251.156
-30.06735878,-51.24798768,4.6652,218.741
-30.01156636,-51.2103206,2.6627,15.392
-29.99597878,-51.24210074,4.903,331.301
-30.07474933,-51.23268852,4.6893,197.969
-30.05585131,-51.1942777,3.2603,136.34
-30.03794356,-51.24543312,2.6994,262.187
-30.05247355,-51.22074806,2.005,188.532
-30.01646599,-51.1992771,2.6875,41.201
-30.06691471,-51.20945534,3.6749,167.592
-30.0135499,-51.21354085,2.3798,9.592
-30.06056163,-51.2221927,2.9152,188.611
-30.07187251,-51.22798112,4.258,193.494
-30.01672134,-51.18522032,3.7058,57.459
-30.01395232,-51.22523241,2.4146,342.416
-29.99721458,-51.1988191,4.5417,23.552
-30.06498768,-51.24234598,4.1277,215.151
-30.00577393,-51.19346758,3.9675,35.964
-30.05650956,-51.21012841,2.5375,163.4
-30.02882582,-51.20483877,1.394,62.326
-30.01199545,-51.19527424,3.3158,40.556
-30.04213822,-51.24595496,2.8492,252.989
-30.03003152,-51.26416271,4.5074,276.528
-30.01161334,-51.20242222,2.9524,29.804
-30.06296991,-51.18314765,4.5786,133.483
-30.06473395,-51.21417976,3.3632,174.286
-30.03778553,-51.18869068,2.811,97.141
-30.0409604,-51.18114221,3.5855,101.303
-30.05087905,-51.19989809,2.4867,136.559
-30.05949625,-51.21939694,2.7689,183.465
-30.00933973,-51.17603409,4.8982,54.934
-30.0441809,-51.20482283,1.6285,130.633
-30.02117551,-51.26309042,4.6245,288.894
-30.00732179,-51.23144837,3.3168,336.393
-30.02718908,-51.20866017,1.1995,46.25
-30.02209639,-51.23680318,2.3125,307.128
-30.06567683,-51.1907137,4.3175,143.077
-30.0054195,-51.24858814,4.4092,317.494
-30.06830439,-51.21176957,3.7863,171.39
-30.02339132,-51.20081064,2.0493,52.348
-30.0327934,-51.26168849,4.2448,272.773
-29.99820353,-51.24173951,4.6701,330.218
-30.02299182,-51.24181661,2.6632,299.123
-30.042586,-51.25396448,3.6056,255.815
-30.04380171,-51.18823973,3.0101,109.779
-30.07254562,-51.19715348,4.6547,154.911
-30.03884309,-51.2639438,4.4811,264.01
-30.04630629,-51.18713287,3.2125,113.816
-30.00839338,-51.22415521,2.9864,347.905
-30.07374455,-51.24015055,4.858,206.465
-30.03087827,-51.26919364,4.9802,274.816
-30.04414601,-51.21655348,1.0619,174.25
-30.04116825,-51.2040447,1.4981,118.96
-30.03189769,-51.17890018,3.7446,85.325
-30.07049668,-51.22255404,4.0152,186.74
-30.04073656,-51.23331031,1.6523,245.796
-30.03566703,-51.23871105,2.0303,266.792
-30.04071582,-51.26129565,4.2556,260.863
-30.00657094,-51.19009256,4.0987,40.375
-30.06226051,-51.22056601,3.0841,185.207
-30.01765334,-51.20494893,2.2518,32.927
-30.04236701,-51.2398815,2.3057,248.13
-30.05887533,-51.21045771,2.7826,165.575
-30.03856502,-51.18085117,3.5708,97.019
-30.01718122,-51.19708008,2.7751,45.575
-30.05609255,-51.21783956,2.3854,180.419
-30.04163093,-51.22624147,1.1342,226.772
-30.06869963,-51.18654213,4.829,141.666
-30.05203136,-51.20497757,2.2868,147.733
-30.0321135,-51.26513523,4.5803,273.515
-30.00706735,-51.22446396,3.1368,347.938
-30.0386067,-51.20330464,1.4506,107.678
-30.00411245,-51.24213738,4.1343,325.228
-30.03178221,-51.20410722,1.3432,76.28
-30.06877769,-51.21014838,3.8645,169.219
-30.02226195,-51.26339314,4.6145,287.358
-30.04351785,-51.21461032,1.0294,163.435
-30.00547033,-51.24230333,4.0205,323.813
-29.99986205,-51.23172385,4.0993,340.7
-30.06972627,-51.18891185,4.7836,144.659
-30.03017969,-51.22201492,0.6503,319.826
-30.03817281,-51.16772773,4.8238,94.676
-30.00417368,-51.19635787,3.9619,31.189
-30.04142733,-51.20679261,1.2897,125.787
-30.01883968,-51.22810672,2.0257,330.216
-30.01818012,-51.22427803,1.9393,340.808
-30.04452507,-51.20839748,1.415,140.939
-30.04406741,-51.21378756,1.1121,160.42
-30.07924989,-51.21300791,4.9812,174.845
-30.006397,-51.19061524,4.0812,39.661
-30.05495782,-51.25908125,4.5836,240.461
-30.00624397,-51.18128409,4.7172,47.964
-30.04406488,-51.23287449,1.8011,234.433
-30.05203507,-51.1988202,2.6515,136.842
-30.03971288,-51.24473832,2.6677,257.8
-30.03484774,-51.17178196,4.4175,90.301
-30.04803852,-51.23597553,2.3085,229.813
-30.00992168,-51.24113884,3.5604,320.566
-30.04224962,-51.22506124,1.106,220.127
-30.00539139,-51.24628351,4.2648,319.722
-30.00878855,-51.26007669,4.996,305.138
-30.04208468,-51.18975749,2.811,107.122
-30.04677372,-51.16837126,4.9336,105.879
-30.04038003,-51.18898769,2.8333,103.013
-30.07448194,-51.21012483,4.4897,170.705
-30.0604859,-51.2502884,4.2578,227.539
-30.01340247,-51.2175446,2.363,0.266
-30.06562467,-51.24582637,4.3847,218.199
-30.01687577,-51.20023714,2.5926,40.327
-30.0211348,-51.20586261,1.8839,37.085
-30.0106892,-51.20004402,3.1589,32.484
-30.05791724,-51.17642923,4.7388,123.116
-30.04004898,-51.25063777,3.2319,259.278
-30.02244695,-51.19486448,2.5806,58.281
-30.03387373,-51.24215717,2.3606,272.082
-30.03923191,-51.25873803,3.9882,262.644
-30.04264324,-51.23179597,1.6261,236.838
-30.03930347,-51.19896033,1.8734,106.053
-30.02847819,-51.18515419,3.2043,77.643
-30.01010913,-51.21003953,2.8262,15.049
-30.03266883,-51.22670227,0.8982,284.178
-30.00132604,-51.20943347,3.7899,12.066
-29.9982673,-51.21467449,4.0566,4.063
-30.07613277,-51.20314916,4.8211,163.162
-30.06238451,-51.18643802,4.3073,135.754
-30.00468325,-51.19097472,4.2085,37.641
-30.00632987,-51.25602355,4.855,310.437
-30.03791674,-51.19627512,2.0909,100.022
-30.03410958,-51.19679399,2.01,88.301
-30.07195267,-51.20788496,4.2547,167.226
-30.02949638,-51.16651313,4.9582,83.378
-30.04404092,-51.19390987,2.5141,114.563
-30.05049775,-51.21208717,1.8428,163.078
-30.05127431,-51.19300246,3.0093,127.926
-30.07217397,-51.24299516,4.8345,210.295
-30.03605811,-51.20280051,1.4393,96.264
-30.01259213,-51.25059677,4.0099,307.708
-30.06637113,-51.23727337,4.0021,208.15
-30.03387348,-51.24900541,3.0197,271.625
-30.03618002,-51.18173206,3.4636,92.831
-30.00877159,-51.17751896,4.8193,53.341
-30.01060964,-51.24654342,3.8582,313.857
-30.04326477,-51.19010247,2.8211,109.869
-30.00457822,-51.20465171,3.5713,20.536
-30.01654259,-51.19410236,3.0333,48.41
-30.01366661,-51.21522178,2.3453,5.743
-30.03009539,-51.26469277,4.5573,276.366
-30.07574261,-51.20577345,4.7119,165.95
-30.0131737,-51.22930075,2.6385,334.851
-30.01928727,-51.24412771,3.0685,303.825
-30.0373166,-51.21432824,0.437,132.799
-30.05416428,-51.18608101,3.7358,125.535
-30.01453816,-51.19484742,3.135,44.49
-30.02472582,-51.25616025,3.8683,286.565
-30.00906633,-51.24809794,4.0852,314.138
-30.03191088,-51.19080979,2.6032,83.293
-30.05222953,-51.19756233,2.7511,135.31
-30.01185586,-51.22432415,2.615,345.788
-30.02393302,-51.24144215,2.5818,297.483
-29.99746954,-51.21370804,4.1526,5.258
-29.99403176,-51.20061828,4.8064,19.97
-30.04211819,-51.23862235,2.1829,247.619
-29.99943395,-51.23666979,4.3235,334.94
-30.05244459,-51.20071773,2.565,140.517
-30.0206003,-51.22927451,1.9215,324.396
-30.0164264,-51.19334825,3.0964,49.124
-30.00802656,-51.2022473,3.312,26.626
